actuator_id,manufacturer,model,kind,motor_id,gearbox_id,driver_id,driver_included,Reducer,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,IP,Communication,Price_EUR,Output_Kt_Nm_per_A,Source,Notes
soceboz-fl102hsv14-35-1-reducer,Soceboz,FL102HSV14 + 35:1 reducer,commercial,soceboz-fl102,,,,35:1,48,87.5,120,262.5,57,88,523,2,102,23,,,5000,,user notes,Output values = motor x 35; user targets 250 Nm & 114 RPM @ ~1 kW continuous (3 kW peak)
rsl-eth-dynadrive,RSL-ETH,DynaDrive,commercial,,,rsl-dynadrive-embedded,yes,integrated,48,27,60,,148,,930,,,,IP66,EtherCAT,,,https://rsl.ethz.ch/robots-media/actuators/DynaDrives.html,15.5 rad/s output; peak current 32A; 13.5A @ nominal; 6D IMU; 21-bit absolute output encoder; <0.1 deg backlash; weight not published
myactuator-rmd-x2-p28-7-e,MyActuator,RMD-X2-P28-7-E,commercial,myactuator-m-0-8-0-61-4-3,myactuator-rmd-x2-p28-7-e-gbx,,yes,planetary 28.17:1,24,2.5,7,,142,178,37,0.26,44,63.5,,CAN BUS / EtherCAT,,0.8,"https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (MyActuator 2025 General Catalog, p13-14)",X2-7. Module (output) torque const 0.8 Nm/A. Motor phase inductance 0.13 mH; efficiency 63%; back-drive torque 0.4 Nm; backlash 12 arcmin; inertia 0.17 kg.cm2; dual encoder ABS-17BIT(in)/18BIT(out); no brake (N). Currents A(rms). Stall: 7.5 Nm@5s. | url:https://www.myactuator.com/x2-7details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x4-p12-10-e,MyActuator,RMD-X4-P12-10-E,commercial,myactuator-m-0-8-0-32-6,myactuator-rmd-x4-p12-10-e-gbx,,yes,planetary 12.6:1,24,4,10,,238,317,100,0.33,55,55.5,,CAN BUS / EtherCAT,317,0.8,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p15-16),X4-10. Module (output) Kt 0.8 Nm/A. L 0.14 mH; eff 69.5%; back-drive 0.8 Nm; backlash 10 arcmin; inertia 0.25 kg.cm2; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 8 Nm@3s. | url:https://www.myactuator.com/x4-10details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x4-p36-36-e,MyActuator,RMD-X4-P36-36-E,commercial,myactuator-m-1-9-0-35-6,myactuator-rmd-x4-p36-36-e-gbx,,yes,planetary 36:1,24,10.5,34,,83,111,100,0.36,55,61,,CAN BUS / EtherCAT,368,1.9,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p17-18),X4-36. Module (output) Kt 1.9 Nm/A. L 0.17 mH; eff 63.1%; back-drive 1.14 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 34.5 Nm@3s. | url:https://www.myactuator.com/x4-36details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x6-p8-8-c,MyActuator,RMD-X6-P8-8-C,commercial,myactuator-m-1-3-1-1-19-4,myactuator-rmd-x6-p8-8-c-gbx,,yes,planetary 8:1,48,4.5,8,,310,387,135,0.49,80,48,,CAN BUS,327,1.3,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p19-20),X6-8 (V3). Module (output) Kt 1.3 Nm/A. L 0.57 mH; eff 78%; back-drive 0.8 Nm; backlash 10 arcmin; deep-groove ball output bearing; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 13.5 Nm@3s. | url:https://www.myactuator.com/x6-8-details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x6-p20-60-e,MyActuator,RMD-X6-P20-60-E,commercial,myactuator-m-2-1-0-41-16,myactuator-rmd-x6-p20-60-e-gbx,,yes,planetary 19.612:1,48,20,60,,153,176,320,0.82,80,67.5,,CAN BUS / EtherCAT,451,2.1,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p21-22),X6-60. Module (output) Kt 2.1 Nm/A. L 0.51 mH; eff 72.7%; back-drive 1.6 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 60 Nm@5s. | url:https://www.myactuator.com/x6-60details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x8-p9-32-r,MyActuator,RMD-X8-P9-32-R,commercial,myactuator-m-1-3-0-13-10-9,myactuator-rmd-x8-p9-32-r-gbx,,yes,planetary 9:1,24,8,32,,244,277,204,0.55,96,41.2,,RS485,,1.3,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p23-24),X8-32 (single encoder). Module (output) Kt 1.3 Nm/A. L 0.081 mH; eff 82%; back-drive 0.8 Nm; backlash 8 arcmin; deep-groove ball output bearing; SINGLE encoder ABS-18BIT; no brake. Currents A(rms). Stall: 30 Nm@3s. | url:https://www.myactuator.com/x8-32-details | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x8-p9-50-c-r,MyActuator,RMD-X8-P9-50-C / -R,commercial,myactuator-m-4-7-0-28-48-5,myactuator-rmd-x8-p9-50-c-r-gbx,,yes,planetary 9:1,48,15,50,,110,137,125,0.72,96,,,RS485 / CAN BUS,639,4.7,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p25-26),X8-50 (higher-Kt winding of X8 frame). Module (output) Kt 4.7 Nm/A. L 0.34 mH; eff 80%; back-drive 0.8 Nm; backlash 10 arcmin; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Length not legible on datasheet drawing. Stall: 45 Nm@3s. | url:https://www.myactuator.com/rmd-x-planetarymotor | datasheet:MyActuator-2025-product-manual.pdf
myactuator-rmd-x8-p20-120-e,MyActuator,RMD-X8-P20-120-E,commercial,myactuator-m-2-4-0-18-19-2,myactuator-rmd-x8-p20-120-e-gbx,,yes,planetary 19.612:1,48,43,120,,127,158,574,1.40,96,76,,CAN BUS / EtherCAT,593,2.4,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p27-28),X8-120. Module (output) Kt 2.4 Nm/A. L 0.31 mH; eff 79%; back-drive 3.21 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 129 Nm@5s. | url:https://www.myactuator.com/x8-120details | datasheet:MyActuator-2025-product-manual.pdf
