gearbox_id,manufacturer,model,source_type,parent_actuator_id,Type,Ratio_num,Eff_Fwd,Eff_Back,Backlash_arcmin,Rated_Output_Torque_Nm,Peak_Output_Torque_Nm,Max_Input_Speed_RPM,Mass_kg,Diameter_mm,Length_mm,Price_EUR,Source,Notes
myactuator-rmd-x2-p28-7-e-gbx,MyActuator,RMD-X2-P28-7-E (gearbox),extracted,myactuator-rmd-x2-p28-7-e,planetary,28.17,,,12,2.5,7,,,44,63.5,,"https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (MyActuator 2025 General Catalog, p13-14)",Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x4-p12-10-e-gbx,MyActuator,RMD-X4-P12-10-E (gearbox),extracted,myactuator-rmd-x4-p12-10-e,planetary,12.6,,,10,4,10,,,55,55.5,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p15-16),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x4-p36-36-e-gbx,MyActuator,RMD-X4-P36-36-E (gearbox),extracted,myactuator-rmd-x4-p36-36-e,planetary,36,,,10,10.5,34,,,55,61,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p17-18),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x6-p8-8-c-gbx,MyActuator,RMD-X6-P8-8-C (gearbox),extracted,myactuator-rmd-x6-p8-8-c,planetary,8,,,10,4.5,8,,,80,48,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p19-20),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x6-p20-60-e-gbx,MyActuator,RMD-X6-P20-60-E (gearbox),extracted,myactuator-rmd-x6-p20-60-e,planetary,19.612,,,10,20,60,,,80,67.5,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p21-22),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x8-p9-32-r-gbx,MyActuator,RMD-X8-P9-32-R (gearbox),extracted,myactuator-rmd-x8-p9-32-r,planetary,9,,,8,8,32,,,96,41.2,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p23-24),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x8-p9-50-c-r-gbx,MyActuator,RMD-X8-P9-50-C / -R (gearbox),extracted,myactuator-rmd-x8-p9-50-c-r,planetary,9,,,10,15,50,,,96,,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p25-26),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x8-p20-120-e-gbx,MyActuator,RMD-X8-P20-120-E (gearbox),extracted,myactuator-rmd-x8-p20-120-e,planetary,19.612,,,10,43,120,,,96,76,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p27-28),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x12-p20-320-e-gbx,MyActuator,RMD-X12-P20-320-E (gearbox),extracted,myactuator-rmd-x12-p20-320-e,planetary,20,,,10,85,320,,,124,85,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p29-30); confirmed https://aifitlab.com/products/myactuator-rmd-x12-320-motor,Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x15-p20-450-e-gbx,MyActuator,RMD-X15-P20-450-E (gearbox),extracted,myactuator-rmd-x15-p20-450-e,planetary,20.25,,,10,145,450,,,166,69,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p31-32),Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x10-p7-40-r-n-c-n-gbx,MyActuator,RMD-X10-P7-40-R-N / -C-N (gearbox),extracted,myactuator-rmd-x10-p7-40-r-n-c-n,planetary,7,,,7,12,40,,,71,53,,"RMD-X10-40_datasheet.pdf (MyActuator V3 download RMD-X10 1:7 V3.pdf, Apr 2024)",Torque cols = parent actuator output (integrated limit).
myactuator-rmd-x10-p35-100-r-n-c-n-gbx,MyActuator,RMD-X10-P35-100-R-N / -C-N (gearbox),extracted,myactuator-rmd-x10-p35-100-r-n-c-n,planetary,35,,,15,50,100,,,71,74,,"RMD-X10-100_datasheet.pdf (MyActuator V3 download RMD-X10-S2 V3.pdf, Apr 2024)",Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-11-80-c-n-d-gbx,MyActuator,EPS-RH-11-80-C-N-D (gearbox),extracted,myactuator-eps-rh-11-80-c-n-d,strain_wave,80,,,,5,21,,,52,73,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p35-36),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-14-100-e-n-d-gbx,MyActuator,EPS-RH-14-100-E-N-D (gearbox),extracted,myactuator-eps-rh-14-100-e-n-d,strain_wave,100,,,,11,28,,,64,81.7,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p37-38),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-17-lite-100-c-n-d-gbx,MyActuator,EPS-RH-17-Lite-100-C-N-D (gearbox),extracted,myactuator-eps-rh-17-lite-100-c-n-d,strain_wave,100,,,,26,65,,,70,77,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p39-40),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-17-100-e-n-d-gbx,MyActuator,EPS-RH-17-100-E-N-D (gearbox),extracted,myactuator-eps-rh-17-100-e-n-d,strain_wave,100,,,,35,54,,,74,90.2,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p41-42),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-20-100-e-n-d-gbx,MyActuator,EPS-RH-20-100-E-N-D (gearbox),extracted,myactuator-eps-rh-20-100-e-n-d,strain_wave,100,,,,50,80,,,84,82.9,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p43-44),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-25-100-e-n-d-gbx,MyActuator,EPS-RH-25-100-E-N-D (gearbox),extracted,myactuator-eps-rh-25-100-e-n-d,strain_wave,100,,,,108,157,,,102,88.5,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p45-46),Torque cols = parent actuator output (integrated limit).
myactuator-eps-rh-32-100-e-n-d-gbx,MyActuator,EPS-RH-32-100-E-N-D (gearbox),extracted,myactuator-eps-rh-32-100-e-n-d,strain_wave,100,,,,150,229,,,132,108.4,,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p47-48),Torque cols = parent actuator output (integrated limit).
zeroerr-erob70f-14-50-gbx,ZeroErr,eRob70F (14-50) (gearbox),extracted,zeroerr-erob70f-14-50,strain_wave,50,,,,3.7,12,,,70,60.4,,https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Torque cols = parent actuator output (integrated limit).
