layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Rated_Speed_RPM,No_Load_Speed_RPM,Rated_Current_A,Peak_Current_A,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw_rpm_per_V,Ke_raw,Ke_unit,R_phase_to_phase_ohm,L_phase_to_phase_H,Rotor_Inertia_kgm2,Km_Nm_per_sqrtW,Mech_Time_Const_ms,Elec_Time_Const_ms,Backdrive_Torque_Nm,Pole_Pairs,Winding,Insulation_Class,Operating_Temp_C,IP,Communication,Notes,Source
actuator,CubeMars,AK60-6 V3.0 KV80,https://www.cubemars.com/product/ak60-6-v3-0-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak60-6-v3-0-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak60-6-v3-0-robotic-actuator-2d-drawing.pdf,201,$229.90 USD (cubemars.com) x0.876,48,3,9,490,640,3.8,11.2,0.38,79,43,planetary 6:1,0.135,terminal_ll,80,12.5,V/krpm,0.595,0.000676,2.435e-05,0.15,0.81,0.69,0.2,14,star,C,-20 to 50,,CAN / UART,"Dual-voltage 24/48V; speeds@48V (24V: rated 233/no-load 320, peak I 10.3A). Torque/speed=output(post 6:1); Kt/Kv/Ke/R/L=motor-frame(pre-gearbox). 24 slots. Dielectric 500V 5mA/2s. NTC temp sensor. 21-bit magnetic encoder. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AK70-10 KV100,https://www.cubemars.com/product/ak70-10-kv100-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak70-10-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak70-10-robotic-actuator-2d-drawing.pdf,349,$398.90 USD (cubemars.com) x0.876,48,8.3,24.8,310,480,7.2,23.2,0.521,89,50.25,planetary 10:1,0.123,terminal_ll,100,11.2,V/krpm,0.272,0.000113,7.53479e-05,0.24,0.74,0.42,0.48,21,delta,H,-20 to 50,,CAN / UART,Dual-voltage 24/48V; speeds@48V (24V: rated 148/no-load 240). Current page lists motor weight 521g (earlier pass saw 621g elsewhere on page). Torque/speed=output(post 10:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 1000V. Backlash 0.12deg. 14-bit encoder. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK80-6 KV100,https://www.cubemars.com/product/ak80-6-kv100-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-6-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak80-6-robotic-actuator-2d-drawing.pdf,412,$469.90 USD (cubemars.com) x0.876,48,6,12,603,800,9.7,20,0.485,98,38.5,planetary 6:1,0.105,terminal_ll,100,10.5,V/krpm,0.17,5.7e-05,6.07e-05,0.25,0.94,0.34,0.36,21,delta,H,-20 to 50,,CAN / UART,Torque/speed=output(post 6:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 1000V. Backlash 0.22deg. 14-bit encoder. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK80-9 V3.0 KV100,https://www.cubemars.com/product/ak80-9-v3-0-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-9-v3-0-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak80-9-v3-0-robotic-actuator-2d-drawing.pdf,420,$479.90 USD (cubemars.com) x0.876,48,9,22,390,570,12,28,0.49,98,38.5,planetary 9:1,0.095,terminal_ll,100,10,V/krpm,0.16,0.000116,0.000111832,0.2387,0.725,,0.51,21,delta,C,-20 to 50,,CAN / UART,Torque/speed=output(post 9:1); Kt/Kv/Ke/R/L=motor-frame. 36 slots. Dielectric 1000V. Backlash 15 arcmin. Elec time const not published; note printed mech tc 0.725ms numerically equals L/R(=0.725ms) so may be mislabeled. 16-bit encoder. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK10-9 V3.0 KV60,https://www.cubemars.com/product/ak10-9-v3-0-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak10-9-v3-0-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak10-9-v3-0-robotic-actuator-2d-drawing.pdf,612,$698.90 USD (cubemars.com) x0.876,48,18,53,235,320,10.7,31.9,0.94,98,61.7,planetary 9:1,0.16,terminal_ll,60,16.7,V/krpm,0.248,0.000213,0.0001002,0.32,0.5,0.93,,21,star,C,-20 to 50,,CAN / UART,Torque/speed=output(post 9:1); Kt/Kv/Ke/R/L=motor-frame. 36 slots. Dielectric 1000V. Dual encoder 21-bit inner + 15-bit outer magnetic. Back-drive torque not published on V3 page. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK10-9 V2.0 KV60,https://www.cubemars.com/product/ak10-9-v2-0-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak10-9-v2-0-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak10-9-v2-0-robotic-actuator-2d-drawing.pdf,612,$698.90 USD (cubemars.com) x0.876,48,18,48,228,320,10.6,29.8,0.96,98,61.7,planetary 9:1,0.198,terminal_ll,60,17.2,V/krpm,0.195,0.000181,0.0001002,0.45,0.5,0.93,0.8,21,star,C,-20 to 50,,CAN / UART,Dual-voltage 24/48V; speeds@48V (24V: rated 109/no-load 160). Torque/speed=output(post 9:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 1000V. Backlash 0.33deg. Dual encoder 14-bit inner + 15-bit outer. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK80-8 KV60,https://www.cubemars.com/product/ak80-8-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-8-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak80-8-robotic-actuator-2d-drawing.pdf,412,$469.90 USD (cubemars.com) x0.876,48,10,25,243,360,6.9,21,0.57,98,43.9,planetary 8:1,0.199,terminal_ll,60,19.8,V/krpm,0.43,0.000214,0.000123262,0.3,0.66,0.5,0.75,21,star,C,-20 to 50,,CAN / UART,Torque/speed=output(post 8:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 1000V. Backlash 0.38deg. Dual encoder 14-bit inner + 15-bit outer. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK80-64 KV80,https://www.cubemars.com/product/ak80-64-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-64-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak80-64-robotic-actuator-2d-drawing.pdf,780,$889.90 USD (cubemars.com) x0.876,48,48,120,48,75,7,19,0.85,98,61.9,planetary 64:1,0.136,terminal_ll,80,13.7,V/krpm,0.22,0.0001335,5.645e-05,0.29,0.67,0.61,4.7,21,delta,H,-20 to 50,,CAN / UART,Dual-voltage 24/48V; speeds@48V (24V: rated 23/no-load 37). Torque/speed=output(post 64:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 1000V. Backlash 0.18deg. Single 14-bit inner encoder. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK70-9 V3.0 KV60,https://www.cubemars.com/product/ak70-9-v3-0-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202607/ak70-9-v3-0-kv60-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak70-9-v3-0-kv60-robotic-actuator-2d-drawing.pdf,349,$398.90 USD (cubemars.com) x0.876,48,8.5,29.2,260,320,6.25,23.8,0.54,89,49,planetary 9:1,0.159,terminal_ll,60,16.7,V/krpm,0.475,0.000408,4.5e-05,0.23,1.7,,0.8,21,delta,C,-20 to 50,,CAN / UART,"UNITS FIX: live page prints R as '475 Ohm' and L as '408 mH' (anomalous); published Km=0.23 reconciles only with R=475 mOhm (Km=Kt/sqrt(R)=0.159/sqrt(0.475)=0.23) and sister AK models use mOhm/uH, so recorded R=0.475 Ohm, L=408 uH. Torque/speed=output(post 9:1). 24 slots. Dielectric 1000V. Dual encoder 14-bit+15-bit. Elec time const not published. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AK60-39 V3.0 KV80,https://www.cubemars.com/product/ak60-39-v3-0-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak60-39-v3-0-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak60-39-v3-0-robotic-actuator-2d-drawing.pdf,393,$448.90 USD (cubemars.com) x0.876,48,24,72,70,98,4.5,17,0.75,79,67,planetary 39:1,0.12,terminal_ll,80,12.5,V/krpm,0.6,0.00067,3.05e-05,0.15,2.39,,1.4,14,star,C,-20 to 50,,CAN / UART,Torque/speed=output(post 39:1); Kt/Kv/Ke/R/L=motor-frame. 24 slots. Dielectric 500V. Backlash 15 arcmin. Dual 21-bit MT6835 encoders. Elec time const not published. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK45-36 V3.0 KV80,https://www.cubemars.com/product/ak45-36-v3-0-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202607/ak45-36-v3-0-kv80-2d-drawing.pdf,datasheets/cubemars-rich/ak45-36-v3-0-kv80-2d-drawing.pdf,163,$185.90 USD (cubemars.com) x0.876,24,8,24,40,52,2,6.5,0.349,55,56.5,planetary 36:1,0.11,terminal_ll,80,12.5,V/krpm,1.8,0.0011,1.819e-05,0.15,,,0.8,14,,C,-20 to 50,,CAN / UART,Torque/speed=output(post 36:1); Kt/Kv/Ke/R/L=motor-frame. 24 slots. Dielectric 500V. Backlash 12 arcmin. Dual 16-bit MT6835 encoders. Winding type + time constants not published. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK45-10 V3.0 KV75,https://www.cubemars.com/product/ak45-10-v3-0-kv75-robotic-actuator.html,https://www.cubemars.com/data/cms/202607/ak45-10-v3-0-kv75-2d-drawing.pdf,datasheets/cubemars-rich/ak45-10-v3-0-kv75-2d-drawing.pdf,137,$155.90 USD (cubemars.com) x0.876,24,2.5,7,120,180,1.9,5,0.262,53,45.2,planetary 10:1,0.127,terminal_ll,75,13.33,V/krpm,2.2,0.00133,1.5733e-05,0.0858,,,0.1,14,,C,-20 to 50,,CAN / UART,Torque/speed=output(post 10:1); Kt/Kv/Ke/R/L=motor-frame. 24 slots. Dielectric 500V. Backlash 18 arcmin. Dual 16-bit MT6835 encoders. Winding type + time constants not published. NTC. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK40-10 V3.0 KV170,https://www.cubemars.com/product/ak40-10-v3-0-kv170-robotic-actuator.html,https://www.cubemars.com/data/cms/202607/ak40-10-v3-0-kv170-2d-drawing.pdf,datasheets/cubemars-rich/ak40-10-v3-0-kv170-2d-drawing.pdf,119,$135.90 USD (cubemars.com) x0.876,24,1.3,4.1,370,435,2.7,7.3,0.19,53,40.2,planetary 10:1,0.056,terminal_ll,170,5.88,V/krpm,0.978,0.000465,9.735e-06,0.0568,,,0.06,14,,C,-20 to 50,,CAN / UART,Torque/speed=output(post 10:1); Kt/Kv/Ke/R/L=motor-frame. Max continuous power 50W. 24 slots. Dielectric 500V. Backlash 18 arcmin. Dual 16-bit MT6835 encoders. Winding type + time constants not published. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AK60-6 V1.1 KV80,https://www.cubemars.com/product/ak60-6-v1-1-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak60-6-v1-1-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak60-6-v1-1-robotic-actuator-2d-drawing.pdf,262,$298.90 USD (cubemars.com) x0.876,24,3,9,233,320,3.8,13.1,0.368,79,39.5,planetary 6:1,0.078,terminal_ll,80,7.5,V/krpm,0.202,0.000138,2.435e-05,0.17,0.81,0.68,0.2,14,delta,C,-20 to 50,,CAN / UART,"V1 generation, single 14-bit encoder. Torque/speed=output(post 6:1); Kt/Kv/Ke/R/L=motor-frame. Dielectric 500V. Backlash 0.55deg. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AK60-6 V1.1 KV140,https://www.cubemars.com/product/ak60-6-v1-1-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak60-6-v1-1-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/ak60-6-v1-1-robotic-actuator-2d-drawing.pdf,,,24,3,9,420,560,6.5,22.7,0.368,79,39.5,planetary 6:1,,terminal_ll,140,,,,,,,,,,14,,C,-20 to 50,,CAN / UART,KV140 winding variant shown on same page as KV80. Only mechanical/performance specs published for KV140 (electrical constants Kt/Ke/R/L/Km not separately listed). Price for KV140 not separately shown (page price $298.9 is KV80). Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AKH70-48 V1.0 KV41,https://www.cubemars.com/product/akh70-48-v-1-0-kv41-hollow-shaft-planetary-actuator.html,https://www.cubemars.com/data/cms/202605/akh70-48-v-1-0-robotic-atuator-2d-drawing.pdf,datasheets/cubemars-rich/akh70-48-v-1-0-robotic-actuator-2d-drawing.pdf,612,$698.90 USD (cubemars.com) x0.876,48,74,222,28,35,6,18,1.396,90,81.5,planetary 48:1,0.23,terminal_ll,41,2.4,V/krpm,0.56,0.0006,0.000117,0.31,2.28,,2.22,21,delta,F,-20 to 50,,CAN / UART,"Hollow-shaft planetary, 7mm bore. R printed 0.56 Ohm, L printed 0.6 mH. 36 slots. Dielectric 500V. Backlash 12 arcmin. Dual 21-bit encoders. Elec time const not published. Currents ADC. Torque/speed=output.",https://www.cubemars.com/
actuator,CubeMars,AKH70-16 V1.0 KV41,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,https://www.cubemars.com/data/cms/202605/akh70-16-v-1-0-robotic-atuator-2d-drawing.pdf,datasheets/cubemars-rich/akh70-16-v-1-0-robotic-actuator-2d-drawing.pdf,525,$598.90 USD (cubemars.com) x0.876,48,26,78,90,105,6.5,19.5,0.879,90,60.5,planetary 16:1,0.23,terminal_ll,41,2.4,V/krpm,0.56,0.0006,0.000117,0.31,2.28,,0.78,21,delta,F,-20 to 50,,CAN / UART,"Hollow-shaft planetary, 7mm bore. Peak torque spec table 78Nm (headline says 85Nm). R printed 0.56 Ohm, L printed 0.6 mH. 36 slots. Dielectric 500V. Backlash 12 arcmin. Dual 21-bit encoders. Elec time const not published. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AKA10-9 KV60,https://www.cubemars.com/product/aka10-9-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/aka10-9-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/aka10-9-robotic-actuator-2d-drawing.pdf,700,$798.90 USD (cubemars.com) x0.876,48,18,53,109,280,10.6,32,1.06,100,70,planetary 9:1,0.16,terminal_ll,60,0.0167,V/krpm,0.248,0.000235,0.0001002,0.32,1.9,0.94,0.8,21,star,C,-20 to 50,,CAN / UART,Ke printed '0.0167 V/krpm' but value is really V/rpm (=16.7 V/krpm). No-load speed 280rpm in table (320 cited in summary). Torque/speed=output(post 9:1). Dielectric 1000V. Backlash 0.15deg. Outer-ring 16-bit encoder. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AKA60-6 KV80,https://www.cubemars.com/product/aka60-6-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/aka60-6-robotic-actuator-2d-drawing.pdf,datasheets/cubemars-rich/aka60-6-robotic-actuator-2d-drawing.pdf,262,$298.90 USD (cubemars.com) x0.876,48,3,9,400,640,4,11.2,0.46,80,51.2,planetary 6:1,0.11937,terminal_ll,80,0.0125,V/krpm,0.595,0.000675,3.3191e-05,0.1541,2.5,1.13,,14,star,H,-20 to 50,,CAN / UART,Ke printed '0.0125 V/krpm' but value is really V/rpm (=12.5 V/krpm). Dual-voltage 24/48V; speeds@48V (24V: rated 200/no-load 320). Torque/speed=output(post 6:1). Dielectric 500V. Single 14-bit encoder. Back-drive not published. Currents ADC.,https://www.cubemars.com/
actuator,CubeMars,AKE90-8 KV35,https://www.cubemars.com/product/ake90-8-kv35-quasi-direct-drive-actuator.html,https://www.cubemars.com/data/cms/202602/ake90-8-quasi-direct-drive-2d-drawing.pdf,datasheets/cubemars-rich/ake90-8-quasi-direct-drive-2d-drawing.pdf,424,$483.90 USD (cubemars.com) x0.876,48,55,170,120,210,21,72,1.4,107.5,43.5,planetary 8:1,0.272,terminal_ll,35,0.0285,V/krpm,0.164,0.000235,0.000337708,0.67372,2.18,1.4329,,21,delta,H,-20 to 50,,,"QDD module: no encoder, no driver board (sold separately). Ke printed '0.0285 V/krpm' but value is really V/rpm (=28.5 V/krpm). Rated power 700W. Backlash 9 arcmin. Dielectric 1000V 5mA/2s. Back-drive torque NOT on live page (user-supplied datasheet=9Nm). Torque/speed=output(post 8:1); Kt/Kv/Ke/R/L=motor-frame. Currents ADC. Rated power 700W (not the 1500W peak-curve figure).",https://www.cubemars.com/
