layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
actuator,CubeMars,AK10-9 V3.0 KV60,https://www.cubemars.com/product/ak10-9-v3-0-kv60-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak10-9-v3-0-robotic-actuator-2d-drawing.pdf,ak10-9-v3-0-robotic-actuator-2d-drawing.pdf,612,"$698.9-$798.9 USD (cubemars.com), low bound x0.876",48,18,53,,235,320,442,0.94,98,61.7,planetary 9:1,0.16,unknown,60,rpm/V,unknown,0.248,terminal_ll,wye,21,10.7,31.9,,CAN / UART,"Wording 'Rated torque'/'Peak torque'; torque & speed = output (post 9:1). Kt/Kv/R/pole-pairs = motor-frame (pre-gearbox), Kv frame unstated. Currents ADC. Dual encoder 21-bit inner + 15-bit outer magnetic. Ke 16.7 V/krpm, L 213uH, J 1002 gcm2, Km 0.32, 36 slots, insulation C, NTC temp sensor.",https://www.cubemars.com/
actuator,CubeMars,AK60-6 V3.0 KV80,https://www.cubemars.com/product/ak60-6-v3-0-kv80-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak60-6-v3-0-robotic-actuator-2d-drawing.pdf,ak60-6-v3-0-robotic-actuator-2d-drawing.pdf,201,"$229.9-$298.9 USD, low bound x0.876",24/48,3,9,,490,640,125,0.38,79,43,planetary 6:1,0.135,unknown,80,rpm/V,unknown,0.595,terminal_ll,wye,14,3.8,11.2,,CAN / UART,"Dual-voltage: values @48V (rated speed 490, no-load 640, rated power 125W, peak current 11.2A); @24V rated speed 233, no-load 320, rated power 60W, peak current 10.3A. Torque=output(post 6:1). Ke 12.5, L 676uH, J 243.5, Km 0.15, 24 slots, insulation C, back-drive 0.2Nm, 21-bit magnetic single encoder, NTC.",https://www.cubemars.com/
actuator,CubeMars,AK70-10 KV100,https://www.cubemars.com/product/ak70-10-kv100-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak70-10-robotic-actuator-2d-drawing.pdf,ak70-10-robotic-actuator-2d-drawing.pdf,349,"$398.9-$498.9 USD, low bound x0.876",24/48,8.3,24.8,,310,480,230,0.621,89,50.25,planetary 10:1,0.123,unknown,100,rpm/V,unknown,0.272,terminal_ll,delta,21,7.2,23.2,,CAN / UART,"Dual-voltage: @48V rated speed 310/no-load 480; @24V rated speed 148/no-load 240. WEIGHT DISCREPANCY: product spec block 621g vs on-page comparison table 521g. Torque=output(post 10:1). Ke 11.2, L 113uH, J 753.5, Km 0.24, backlash 0.12deg, back-drive 0.48Nm, noise 58dB, insulation H, 14-bit magnetic single encoder, NTC.",https://www.cubemars.com/
actuator,CubeMars,AK80-6 KV100,https://www.cubemars.com/product/ak80-6-kv100-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-6-robotic-actuator-2d-drawing.pdf,ak80-6-robotic-actuator-2d-drawing.pdf,412,"$469.9-$569.9 USD, low bound x0.876",48,6,12,,603,800,340,0.485,98,38.5,planetary 6:1,0.105,unknown,100,rpm/V,unknown,0.17,terminal_ll,delta,21,9.7,20,,CAN / UART,"Torque=output(post 6:1). Ke 10.5, L 57uH, J 607, Km 0.25, backlash 0.22deg, back-drive 0.36Nm, noise 55dB, insulation H, temp sensor none, 14-bit magnetic single encoder. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AK80-9 V3.0 KV100,https://www.cubemars.com/product/ak80-9-v3-0-robotic-actuator.html,https://www.cubemars.com/data/cms/202602/ak80-9-v3-0-robotic-actuator-2d-drawing.pdf,ak80-9-v3-0-robotic-actuator-2d-drawing.pdf,420,"$479.9-$579.9 USD, low bound x0.876",48,9,22,,390,570,368,0.49,98,38.5,planetary 9:1,0.095,unknown,100,rpm/V,unknown,0.16,terminal_ll,delta,21,12,28,,CAN / UART,"Torque=output(post 9:1). Ke 10, L 116uH, J 1118.3, Km 0.2387, backlash 15 arcmin, back-drive 0.51Nm, noise 60dB, insulation C, 36 slots, 16-bit magnetic single encoder, NTC. Currents ADC.",https://www.cubemars.com/
actuator,CubeMars,AK10-9 V2.0 KV60,https://www.cubemars.com/product/ak10-9-v2-0-kv60-robotic-actuator.html,,,612,"$698.9-$798.9 USD, low bound x0.876",24/48,18,48,,228,320,430,0.96,98,61.7,planetary 9:1,,,60,rpm/V,unknown,,,,,10.6,29.8,,CAN / UART,Mechanical specs from on-page CubeMars product-comparison table; electrical constants (Kt/Kv/R/winding/pole-pairs) not individually fetched. Nominal KV in model name. Currents ADC. @24V rated speed 109 / no-load 160. Dual encoder.,https://www.cubemars.com/
actuator,CubeMars,AK80-8 KV60,https://www.cubemars.com/product/ak80-8-kv60-robotic-actuator.html,,,412,"$469.9-$569.9 USD, low bound x0.876",48,10,25,,243,360,230,0.57,98,43.9,planetary 8:1,,,60,rpm/V,unknown,,,,,6.9,21,,CAN / UART,Mechanical specs from on-page CubeMars product-comparison table; electrical constants (Kt/Kv/R/winding/pole-pairs) not individually fetched. Nominal KV in model name. Currents ADC. Dual encoder.,https://www.cubemars.com/
actuator,CubeMars,AK80-64 KV80,https://www.cubemars.com/product/ak80-64-kv80-robotic-actuator.html,,,780,"$889.9-$989.9 USD, low bound x0.876",24/48,48,120,,48,75,220,0.85,98,61.9,planetary 64:1,,,80,rpm/V,unknown,,,,,7,19,,CAN / UART,Mechanical specs from on-page CubeMars product-comparison table; electrical constants (Kt/Kv/R/winding/pole-pairs) not individually fetched. Nominal KV in model name. Currents ADC. @24V rated speed 23 / no-load 37. Single encoder.,https://www.cubemars.com/
actuator,CubeMars,AK70-9 V3.0 KV60,https://www.cubemars.com/product/ak70-9-v3-0-kv60-robotic-actuator.html,,,349,"$398.9-$498.9 USD, low bound x0.876",48,8.5,29.2,,260,320,231,0.54,89,49,planetary 9:1,,,60,rpm/V,unknown,,,,,6.25,23.8,,CAN / UART,Mechanical specs from on-page CubeMars product-comparison table; electrical constants (Kt/Kv/R/winding/pole-pairs) not individually fetched. Nominal KV in model name. Currents ADC. Dual encoder.,https://www.cubemars.com/
actuator,CubeMars,AK60-39 V3.0 KV80,https://www.cubemars.com/product/ak60-39-v3-0-kv80-robotic-actuator.html,,,393,$448.9 USD x0.876,48,24,72,,70,98,176,0.75,79,67,planetary 39:1,,,80,rpm/V,unknown,,,,,4.5,17,,CAN / UART,Mechanical specs from on-page CubeMars product-comparison table; electrical constants (Kt/Kv/R/winding/pole-pairs) not individually fetched. Nominal KV in model name. Currents ADC. Dual encoder.,https://www.cubemars.com/
