layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
motor,T-Motor,U8 II KV100,https://store.tmotor.com/goods-561-U8_KV100.html,,,285,USD 309.99 @ store.tmotor.com (~0.92 EUR/USD),12S (44-50V),,,,,,,0.272,87.1,29.1,direct-drive,,,100,rpm/V,unknown,0.170,unknown,,21,,29.3,IP45,,"Stator 36N42P; R=170+/-5mOhm (internal resistance); peak current 29.3A and max power 1406W are 180s ratings; max thrust 7.3kg; shaft 15mm. KV150/KV190 variants exist on same page but no per-KV specs published. CROSS-CHECK motor: published KV=100 matches DB; winding NOT stated by T-Motor.",https://store.tmotor.com/goods-561-U8_KV100.html
motor,T-Motor,U8 II Pro KV100,https://store.tmotor.com/product/u8-2-pro-u-efficiency.html,,,285,USD 309.99 @ store.tmotor.com (~0.92 EUR/USD),12S (48-52V),,,,,,,0.287,87.3,29.55,direct-drive,,,100,rpm/V,unknown,0.134-0.141,unknown,,21,,31,IP56,,"Stator 36N42P; internal resistance 134-141mOhm; peak 31A / max power 1450W (180s); max thrust 9.1kg; bearing 6901ZZ; shaft 12mm.",https://store.tmotor.com/product/u8-2-pro-u-efficiency.html
motor,T-Motor,U8 II Lite KV100,https://store.tmotor.com/product/u8-v2-lite-u-efficiency.html,,,276,USD 299.90 @ store.tmotor.com (~0.92 EUR/USD),12S (48-52V),,,,,,,0.253,87.3,26.05,direct-drive,,,100,rpm/V,unknown,0.134-0.141,unknown,,21,,31,,,"Stator 36N42P; internal resistance 134-141mOhm; peak 31A / max power 1450W (180s); max thrust 9.1kg. KV85 variant selectable but no specs published for it.",https://store.tmotor.com/product/u8-v2-lite-u-efficiency.html
motor,T-Motor,Antigravity MN8017 KV120,https://store.tmotor.com/product/mn8017-motor-antigravity-type.html,,,267,USD 289.90 @ store.tmotor.com (~0.92 EUR/USD),12S (44-50V),,,,,,,0.453,87.8,34.5,direct-drive,,,120,rpm/V,unknown,0.045,unknown,,21,,68.6,,,"Stator 36N42P; internal resistance 45mOhm; peak 68.6A / max power 3180W (180s); max thrust 16.8kg; shaft 12mm.",https://store.tmotor.com/product/mn8017-motor-antigravity-type.html
motor,T-Motor,Antigravity MN1005 V2.0 KV90,https://store.tmotor.com/product/mn1005-v2-motor-antigravity-type.html,,,230,USD 249.90 @ store.tmotor.com (~0.92 EUR/USD),12S (44-50V),,,,,,,0.282,107,23,direct-drive,,,90,rpm/V,unknown,0.168,unknown,,21,,32,,,"Pancake stator 36N42P; internal resistance 168mOhm; peak 32A / max power 1500W (180s); max thrust 9.3kg; shaft 17mm. KV100 variant also available.",https://store.tmotor.com/product/mn1005-v2-motor-antigravity-type.html
motor,T-Motor,U10 II KV100,https://store.tmotor.com/product/u10-2-u-efficiency.html,,,313,USD 339.90 @ store.tmotor.com (~0.92 EUR/USD),12S (44-50V),,,,,,,0.415,98.6,33.1,direct-drive,,,100,rpm/V,unknown,0.101,unknown,,21,,32.4,IP45,,"Stator 36N42P; internal resistance 101+/-5mOhm; peak 32.4A / max power 1600W (180s); max thrust 10.6kg; shaft 15mm.",https://store.tmotor.com/product/u10-2-u-efficiency.html
motor,T-Motor,U12 II KV120,https://store.tmotor.com/product/u12-v2-kv120-u-efficiency.html,,,340,USD 369.90 @ store.tmotor.com (~0.92 EUR/USD),10-14S (37-59V),,,,,,,0.778,106.8,47.6,direct-drive,,,120,rpm/V,unknown,0.022,unknown,,21,,95,,,"Stator 36N42P; internal resistance 22mOhm; peak 94.3-95A / max power 4560W; max thrust 20.4kg @48V; shaft 15mm.",https://store.tmotor.com/product/u12-v2-kv120-u-efficiency.html
motor,T-Motor,U13 II KV65,https://store.tmotor.com/product/u13-v2-kv65-motor-u-power.html,,,350,USD 379.90 @ store.tmotor.com (~0.92 EUR/USD),22-25S (81-105V),,,,,,,0.975,100,60,direct-drive,,,65,rpm/V,unknown,0.073,unknown,,21,,68,,,"Stator 36N42P; internal resistance 73mOhm; peak 68A / max power 6720W; max thrust 28.7kg; shaft 15mm.",https://store.tmotor.com/product/u13-v2-kv65-motor-u-power.html
motor,T-Motor,U13 II KV130,https://store.tmotor.com/product/U13-v2-KV130-Power-Type-UAV-Motor.html,,,350,USD 379.90 @ store.tmotor.com (~0.92 EUR/USD),10-14S (37-59V),,10,,,,,0.990,100,60,direct-drive,,,130,rpm/V,unknown,0.018,unknown,,21,,118,,,"Stator 36N42P; internal resistance 18mOhm; peak 118A / max power 5659W; max thrust 24.3kg with torque 10 Nm at 100pct throttle @48V (operating-point torque, not a rated spec); shaft 15mm.",https://store.tmotor.com/product/U13-v2-KV130-Power-Type-UAV-Motor.html
motor,T-Motor,GB54-1 KV33 gimbal,https://store.tmotor.com/product/gb54-1-gimbal-type.html,,,64,USD 69.90 @ store.tmotor.com (~0.92 EUR/USD),3-6S (11-25V),,0.33,,,,,0.137,60.7,23,direct-drive,,,33,rpm/V,unknown,15.6,unknown,,7,,,,,"Gimbal outrunner, stator 12N14P; internal resistance 15.6 Ohm; max (holding) torque 0.33 Nm - ambiguous vendor 'max torque'; 12.7mm hollow shaft; payload up to 1.8kg camera.",https://store.tmotor.com/product/gb54-1-gimbal-type.html
