layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
driver,MAB Robotics,MD80 v3.0 motor controller,https://www.mabrobotics.pl/product-page/md80-motor-controller,,,220,mabrobotics.pl product page (schema.org Offer),up to 48,,,,,,,0.015,55,,none (controller only),,unknown,,,unknown,,unknown,,,,80,,FDCAN up to 8 Mbps,"Bare brushless motor CONTROLLER (driver), NOT a frameless motor - has no motor Kt/Kv/R/pole (those belong to the attached motor). Onboard 14-bit absolute encoder; aux connectors for external MAB on-axis/off-axis ring encoders, RS422 (on request), brake/limit switch. Motion modes: position/velocity (PID+profile), impedance (PD), torque (PI). Mass 15g on product page (MD-series overview lists 16g). Product page also displays 161,11 EUR next to 220,00 EUR; schema.org Offer and category listing both = 220.",MAB Robotics mabrobotics.pl fetched 2026-07-23
driver,MAB Robotics,MD80 v3.0 CANopen motor controller,https://www.mabrobotics.pl/product-page/md80-canopen-motor-controller,,,220,mabrobotics.pl product page (schema.org Offer),up to 48,,,,,,,0.015,55,,none (controller only),,unknown,,,unknown,,unknown,,,,80,,CANopen,"Same board as MD80 v3.0 with CANopen interface for industrial/PLC integration. Bare controller, no motor constants. Onboard 14-bit absolute encoder.",MAB Robotics mabrobotics.pl fetched 2026-07-23
driver,MAB Robotics,MD80 v3.0 60VDC motor controller,https://www.mabrobotics.pl/product-page/md80-60vdc-motor-controller,,,269,mabrobotics.pl category (schema.org Offer),up to 60,,,,,,,0.016,55,,none (controller only),,unknown,,,unknown,,unknown,,,,80,,FDCAN,"60V variant of MD80 v3.0: up to 60VDC, 80A peak, diameter 55mm, ~16g. Bare controller. Specs from MD-series overview; product page could not be re-fetched (bot wall) but price 269 EUR confirmed via schema.org catalog Offer.",MAB Robotics mabrobotics.pl fetched 2026-07-23
driver,MAB Robotics,MD80 v3.0 60VDC CANopen motor controller,https://www.mabrobotics.pl/product-page/md80-60vdc-canopen-motor-controller,,,269,mabrobotics.pl category (schema.org Offer),up to 60,,,,,,,0.016,55,,none (controller only),,unknown,,,unknown,,unknown,,,,80,,CANopen,"60V + CANopen variant of MD80 v3.0. Bare controller.",MAB Robotics mabrobotics.pl fetched 2026-07-23
driver,MAB Robotics,MD20 v1.0 motor controller,https://www.mabrobotics.pl/product-page/md20-motor-controller,,,169,mabrobotics.pl category (schema.org Offer),up to 48,,,,,,,0.006,35,,none (controller only),,unknown,,,unknown,,unknown,,,,20,,FDCAN,"Smaller sibling of MD80: up to 48VDC, 20A peak, diameter 35mm, 6g. CANopen variant (md20-canopen-motor-controller) also 169 EUR. Bare controller, no motor constants. Not in original scope; included as direct-sale product.",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-H,https://www.mabrobotics.pl/product-page/ma-h,,,1609,mabrobotics.pl product page (base config; schema.org Offer),12-48,,151,,,100,,0.54,73,62,harmonic 50:1/80:1/100:1 strain-wave,,unknown,,,unknown,,unknown,,,,,IP66,CAN-FD / CANopen,"Frameless BLDC + strain-wave gear + MD-series driver. Page publishes only a COMBINED RANGE: 'Torque 4-151 Nm (rated/peak)' and 'Max speed 35-100 RPM' spanning the 50:1/80:1/100:1 options; per-ratio rated/peak NOT split out. Recorded Peak=151 (top config, 100:1) and Max_Speed=100 (lowest ratio 50:1); rated left blank (not published per config). Accuracy <1.5 / repeatability +/-0.1 arcmin. 14-bit motor encoder + built-in ME-am output encoder; optional RLS AksIM-2 17-20bit output encoder; optional electromagnetic brake. Base config 1609 EUR; configs range up to 2449 EUR.",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-hs-h-IP66,https://www.mabrobotics.pl/product-page/ma-hs-ip66,,,2599,mabrobotics.pl product page (base config; range 2599/2969/3299),12-48,28,60,,,90,,1.25,102,91,harmonic 50:1 strain-wave,,unknown,,,unknown,,unknown,,,,,IP66,CAN-FD / CANopen,"Hollow-shaft harmonic actuator. Torque 28/60 Nm (rated/peak); max speed 90 RPM; 1:50 strain-wave. Dual 17-bit absolute encoders (motor side + output shaft). Optional electromagnetic brake and/or slip ring for wires. Accuracy <1.5 / rep +/-0.1 arcmin. Config prices 2599 (base) / 2969 / 3299 EUR; schema.org headline Offer = 3299 (default/top variant). Rated power NOT published on page (existing DB listed 250W - unverified). Real product slug is ma-hs-ip66 (ma-hs-h-ip66 404s).",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-100-IP66 (KV60),https://www.mabrobotics.pl/product-page/ma-p-100-ip66,,,1559,mabrobotics.pl product page (base config; schema.org Offer),12-48,18,48,,,228,,1.1,103,79.6,planetary 9:1,,unknown,60,rpm/V,unknown,,unknown,,,,,IP66,CAN-FD / CANopen,"Planetary actuator, 9:1, backlash 9 arcmin (0.15 deg). KV60 motor winding: 18/48 Nm (rated/peak), 228 RPM max at 48V. Kv=60 taken from the 'KV60' winding-variant name (rpm/V, reference frame unstated). 14-bit motor encoder + built-in ME-am output encoder; options: MAB SLIM electromagnetic brake, RLS AksIM-2 17-20bit output encoder. 48VDC and 60VDC input versions. Cross-roller output bearing. Base 1559 EUR (configs to ~1898 EUR).",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-100-IP66 (KV100),https://www.mabrobotics.pl/product-page/ma-p-100-ip66,,,1559,mabrobotics.pl product page (base config; schema.org Offer),12-48,15,38,,,421,,1.1,103,79.6,planetary 9:1,,unknown,100,rpm/V,unknown,,unknown,,,,,IP66,CAN-FD / CANopen,"Same body/price as KV60 variant. KV100 motor winding: 15/38 Nm (rated/peak), 421 RPM max at 48V. Kv=100 from the 'KV100' winding-variant name (rpm/V, reference unstated). 9:1 planetary, backlash 9 arcmin.",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-100-30,https://www.mabrobotics.pl/product-page/ak10-30-cubemars-t-motor,,,897.56,mabrobotics.pl product page (base config; schema.org Offer),12-48,50,150,,,96,,1.1,98,67,planetary 30:1,,unknown,,,unknown,,unknown,,,,,,CAN-FD / CANopen,"Planetary actuator 30:1, backlash 18 arcmin (0.3 deg). 50/150 Nm (rated/peak), 96 RPM max at 48V. Absolute encoder on motor side (before reduction) + additional absolute encoder on output shaft. 48VDC and 60VDC input versions. IP rating NOT stated on page. Cross-roller output bearing. 897.56 EUR (base; ~946.56 with brake, ~1376-1425 for 60V configs). Legacy URL slug ak10-30-cubemars-t-motor.",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-45-10,https://www.mabrobotics.pl/product-page/ma-p-45-10,,,303.41,mabrobotics.pl product page (schema.org Offer),12-48,2.5,7,,,300,,0.25,53,41.9,planetary 10:1,,unknown,,,unknown,,unknown,,,,,,CAN-FD / CANopen,"Compact planetary actuator 10:1, backlash 18 arcmin (0.3 deg). 2.5/7 Nm (rated/peak), 300 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope (smaller MA-p family).",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-45-36,https://www.mabrobotics.pl/product-page/ma-p-45-36,,,357.26,mabrobotics.pl product page (schema.org Offer),12-48,8,24,,,80,,0.34,55,54.4,planetary 36:1,,unknown,,,unknown,,unknown,,,,,,CAN-FD / CANopen,"Planetary actuator 36:1, backlash 18 arcmin (0.3 deg). 8/24 Nm (rated/peak), 80 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope.",MAB Robotics mabrobotics.pl fetched 2026-07-23
actuator,MAB Robotics,MA-p-40-10,https://www.mabrobotics.pl/product-page/ma-p-40-10,,,279.69,mabrobotics.pl product page (schema.org Offer),12-48,1.3,4.1,,,700,,0.17,53,35.9,planetary 10:1,,unknown,,,unknown,,unknown,,,,,,CAN-FD / CANopen,"Smallest MA-p planetary actuator 10:1, backlash 18 arcmin (0.3 deg). 1.3/4.1 Nm (rated/peak), 700 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope.",MAB Robotics mabrobotics.pl fetched 2026-07-23
