layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
actuator,Maxon,HEJ 50-48-30,https://global.maxongroup.com/high-efficiency-joints,https://global.maxongroup.com/hubfs/Datasheet_HEJ_50_48_30_rev1.1.pdf?hsLang=en,Datasheet_HEJ_50_48_30_rev1.1.pdf,,,30-60,11,28,28,200,248,,0.53,71.5,65,integrated planetary (ratio not published),,unknown,,,,,,,,4.7,,default has no IP back-cap; IP67 covers on request,EtherCAT,"Rev1.1 P/N 922156. Nominal (continuous) joint torque 11 Nm; max joint torque actively controlled & repetitive 28 Nm (applied ~1-2s). Max joint velocity 21 rad/s @48V (200 rpm), 26 rad/s @60V (248 rpm). Impact/overtorque: 12e6 @23Nm, 100e3 @30Nm, 1e3 @40Nm. Cont. DC-link current 4.7 Arms; max input <40A. 14-bit abs output encoder; backlash 0.5deg avg; backdrive <0.8Nm; inertia 56 kgcm2; eff up to 74%. Kt not published (torque via motor current). Rated power not stated by maxon (11Nm x 21rad/s ~= 231W).",maxon datasheet HEJ 50-48-30 rev1.1
actuator,Maxon,HEJ 70-48-60,https://global.maxongroup.com/high-efficiency-joints,https://global.maxongroup.com/hubfs/Datasheet_HEJ_70_48_60_rev1.2.pdf?hsLang=en,Datasheet_HEJ_70_48_60_rev1.2.pdf,,,30-60,27,63,63,170,210,,1.04,88,77,integrated planetary (ratio not published),,unknown,,,,,,,,8.0,,IP67,EtherCAT,"Rev1.2 P/N 933846 (radial connectors) / 933847 (axial connectors). Nominal torque 27 Nm; max joint torque repetitive 63 Nm (~1-2s). Max joint velocity 17.8 rad/s @48V (170 rpm), 22 rad/s @60V (210 rpm). Impact/overtorque: 12e6 @38Nm, 100e3 @50Nm, 1e3 @67Nm. Cont. DC-link 8.0 Arms; max input <40A. IP67 incl. under load/bending; integrated user-controllable fan (12V). 14-bit abs encoder; inertia 112 kgcm2; backdrive <1.0Nm; eff up to 81.4%. Kt not published. Rated power not stated (27Nm x 18rad/s ~= 486W).",maxon datasheet HEJ 70-48-60 rev1.2
actuator,Maxon,HEJ 90-48-140,https://global.maxongroup.com/high-efficiency-joints,https://global.maxongroup.com/hubfs/Datasheet_HEJ_90_48_140_rev2.3.pdf?hsLang=en,Datasheet_HEJ_90_48_140_rev2.3.pdf,,,30-60,75,140,140,99,124,,2.006,108,90,integrated planetary (ratio not published),,unknown,,,,,,,,8.0,,IP67,EtherCAT,"Rev2.3 P/N 831220 (radial) / 895330 (axial). Nominal torque 75 Nm; max joint torque repetitive 140 Nm (~4-5s); 180 Nm variant available on request. Max joint velocity 10.4 rad/s @48V (99 rpm), 13.0 rad/s @60V (124 rpm). Impact/overtorque: 12e6 @180Nm, 100e3 @240Nm, 1e3 @320Nm. Mass 2.006kg radial / 1.987kg axial. Cont. DC-link 8.0 Arms. 12-bit abs encoder; inertia 0.045 kgm2; accel to max speed <8ms; eff up to 86.1%. Kt not published. Rated power not stated (75Nm x 10.05rad/s ~= 754W).",maxon datasheet HEJ 90-48-140 rev2.3
actuator,Maxon,HEJ Hercules,https://global.maxongroup.com/high-efficiency-joints,,,,,20-60,150,300,,96,,,<3,,,integrated,,unknown,,,,,,,,,,IP67,EtherCAT,"IN DEVELOPMENT - no released datasheet yet. Overview/flyer values (preliminary, subject to change): peak torque 300 Nm, continuous 150 Nm, peak joint velocity ~10 rad/s (~96 rpm), mass <3 kg, 20-60V, EtherCAT, IP67.",maxon HEJ overview page + robotics flyer rev1.6
actuator,Maxon,HPJ DT38S-WGA14,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,https://www.maxongroup.com/assets/public/caas/v1/media/271238/data/5fd47e48fa580fb8bf564b71097107dc/whitepaper-flyer-robotics-products-and-services-en.pdf,maxon_robotics_flyer_rev1.6.pdf,,,,,12,19,84,167,,0.9,74,74,strain wave WGA 14:1,0.0165,phase_peak,,,,0.26,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"HPJ-DT joint = DT38S frameless motor + WGA strain-wave 14:1. maxon lists 'Peak Joint Torque, Repetitive' = 12-19 Nm; 'Peak Joint Velocity' = 8.8-17.5 rad/s (84-167 rpm). Includes motor + 2x encoder + gear + output bearing; brake/safety optional; no joint backlash; hollow shaft. Kt=16.5 mNm/A (FOC, amplitude = phase-current-referenced) and R phase-phase 0.26 ohm are MOTOR-level (pre-gear). Motor MSat 0.5 Nm; OD 42 / ID 17 mm; cogging 0.5 mNm. Voltage low-voltage DC (nominal customizable). Flyer rev1.6 Sept2025.",maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R)
actuator,Maxon,HPJ DT38M-WGU14,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,https://www.maxongroup.com/assets/public/caas/v1/media/271238/data/5fd47e48fa580fb8bf564b71097107dc/whitepaper-flyer-robotics-products-and-services-en.pdf,maxon_robotics_flyer_rev1.6.pdf,,,,,23,36,84,167,,1.0,74,86,strain wave WGU 14:1,0.0322,phase_peak,,,,0.37,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"HPJ-DT joint = DT38M motor + WGU strain-wave 14:1. 'Peak Joint Torque, Repetitive' = 23-36 Nm; 'Peak Joint Velocity' = 8.8-17.5 rad/s (84-167 rpm). Kt=32.2 mNm/A (FOC amplitude, phase) and R phase-phase 0.37 ohm are MOTOR-level. Motor MSat 1.0 Nm; OD 42 / ID 17 mm; cogging 1.5 mNm. Flyer rev1.6 Sept2025.",maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R)
actuator,Maxon,HPJ DT50S-WGA20,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,https://www.maxongroup.com/assets/public/caas/v1/media/271238/data/5fd47e48fa580fb8bf564b71097107dc/whitepaper-flyer-robotics-products-and-services-en.pdf,maxon_robotics_flyer_rev1.6.pdf,,,,,39,64,40,127,,1.5,94,81,strain wave WGA 20:1,0.0604,phase_peak,,,,0.58,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"HPJ-DT joint = DT50S motor + WGA strain-wave 20:1. 'Peak Joint Torque, Repetitive' = 39-64 Nm; 'Peak Joint Velocity' = 4.2-13.3 rad/s (40-127 rpm). Kt=60.4 mNm/A (FOC amplitude, phase) and R phase-phase 0.58 ohm are MOTOR-level. Motor MSat 1.5 Nm; OD 54 / ID 28 mm; cogging 2.6 mNm. Flyer rev1.6 Sept2025.",maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R)
actuator,Maxon,HPJ DT50M-WGU20,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,https://www.maxongroup.com/assets/public/caas/v1/media/271238/data/5fd47e48fa580fb8bf564b71097107dc/whitepaper-flyer-robotics-products-and-services-en.pdf,maxon_robotics_flyer_rev1.6.pdf,,,,,27,120,40,210,,1.8,94,86,strain wave WGU 20:1,0.0926,phase_peak,,,,0.76,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"HPJ-DT joint = DT50M motor + WGU strain-wave 20:1. 'Peak Joint Torque, Repetitive' = 27-120 Nm (wide range); 'Peak Joint Velocity' = 4.2-22.0 rad/s (40-210 rpm). Kt=92.6 mNm/A (FOC amplitude, phase) and R phase-phase 0.76 ohm are MOTOR-level. Motor MSat 2.2 Nm; OD 54 / ID 28 mm; cogging 4.6 mNm. Flyer rev1.6 Sept2025.",maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R)
actuator,Maxon,HPJ DT65S-WGA25,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,,maxon_robotics_flyer_rev1.6.pdf,,,,,69,123,23,73,,2.6,114,90,strain wave WGA 25:1,0.0881,phase_peak,,,,0.33,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"NOT in current maxon robotics flyer rev1.6 (Sept2025) which lists only DT38/DT50 HPJ joints. Joint-level torque/speed/mass/dims (69-123 Nm, 23-73 rpm, 2.6kg, 114x90) CARRIED FROM PRIOR DB - UNVERIFIED against a current maxon source. Motor DT65S Kt=88.1 mNm/A (FOC amplitude, phase), R phase-phase 0.33 ohm, MSat 2.6 Nm, OD 70 / ID 35.5 mm are VERIFIED (EC frameless DT brochure). Confirm joint specs with robotics@maxongroup.com.",motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED)
actuator,Maxon,HPJ DT65M-WGU25,https://www.maxongroup.com/en/market-solutions/mobility-solutions/robotics,,maxon_robotics_flyer_rev1.6.pdf,,,,,127,229,12,41,,3.4,114,100,strain wave WGU 25:1,0.157,phase_peak,,,,0.47,phase-phase (terminal),single-tooth concentrated,,,,,optional (EPOS/EtherCAT/CANopen electronics),"NOT in current maxon robotics flyer rev1.6 (Sept2025). Joint-level torque/speed/mass/dims (127-229 Nm, 12-41 rpm, 3.4kg, 114x100) CARRIED FROM PRIOR DB - UNVERIFIED. Motor DT65M Kt=157 mNm/A (FOC amplitude, phase), R phase-phase 0.47 ohm, MSat 4.9 Nm, OD 70 / ID 35.5 mm are VERIFIED (EC frameless DT brochure). Confirm joint specs with maxon.",motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED)
