layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
actuator,MyActuator,RMD-X2-P28-7-E,https://www.myactuator.com/x2-7details,https://www.myactuator.com/_files/archives/cab28a_a8be185812d94daca249a7dc923ebe56.zip?dn=RMD-X2-7%20260519.zip,MyActuator-2025-product-manual.pdf,,,24,2.5,7,,142,178,37,0.26,44,63.5,planetary 28.17:1,0.8,"output (module, after gearbox)",4.3,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.61,motor phase,wye,13,3,8.1,,CAN BUS / EtherCAT,X2-7. Module (output) torque const 0.8 Nm/A. Motor phase inductance 0.13 mH; efficiency 63%; back-drive torque 0.4 Nm; backlash 12 arcmin; inertia 0.17 kg.cm2; dual encoder ABS-17BIT(in)/18BIT(out); no brake (N). Currents A(rms). Stall: 7.5 Nm@5s.,"https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (MyActuator 2025 General Catalog, p13-14)"
actuator,MyActuator,RMD-X4-P12-10-E,https://www.myactuator.com/x4-10details,https://www.myactuator.com/_files/archives/cab28a_026a233a507e45bdae0b607526d0281b.zip?dn=RMD-X4-10%20260703.zip,MyActuator-2025-product-manual.pdf,317,"$345 USD (AIFITLAB aifitlab.com), @0.92 EUR/USD",24,4,10,,238,317,100,0.33,55,55.5,planetary 12.6:1,0.8,"output (module, after gearbox)",6,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.32,motor phase,wye,13,7.8,19.5,,CAN BUS / EtherCAT,X4-10. Module (output) Kt 0.8 Nm/A. L 0.14 mH; eff 69.5%; back-drive 0.8 Nm; backlash 10 arcmin; inertia 0.25 kg.cm2; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 8 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p15-16)
actuator,MyActuator,RMD-X4-P36-36-E,https://www.myactuator.com/x4-36details,https://www.myactuator.com/_files/archives/cab28a_55831324f44f494c9d584df3dfea731a.zip?dn=RMD-X4-36%20260703.zip,MyActuator-2025-product-manual.pdf,368,"$400 USD (AIFITLAB), @0.92 EUR/USD",24,10.5,34,,83,111,100,0.36,55,61,planetary 36:1,1.9,"output (module, after gearbox)",6,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.35,motor phase,wye,13,6.1,21.5,,CAN BUS / EtherCAT,X4-36. Module (output) Kt 1.9 Nm/A. L 0.17 mH; eff 63.1%; back-drive 1.14 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 34.5 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p17-18)
actuator,MyActuator,RMD-X6-P8-8-C,https://www.myactuator.com/x6-8-details,https://www.myactuator.com/_files/archives/cab28a_dea91bce3ce54bb79854e78cc7f79afc.zip?dn=X6-8-240403.zip,MyActuator-2025-product-manual.pdf,327,"$355 USD (AIFITLAB), @0.92 EUR/USD",48,4.5,8,,310,387,135,0.49,80,48,planetary 8:1,1.3,"output (module, after gearbox)",19.4,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),1.1,motor phase,wye,14,3.6,7.2,,CAN BUS,X6-8 (V3). Module (output) Kt 1.3 Nm/A. L 0.57 mH; eff 78%; back-drive 0.8 Nm; backlash 10 arcmin; deep-groove ball output bearing; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Stall: 13.5 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p19-20)
actuator,MyActuator,RMD-X6-P20-60-E,https://www.myactuator.com/x6-60details,https://www.myactuator.com/_files/archives/cab28a_73ee2277286049bf9fc71ed18f7dec1f.zip?dn=RMD-X6-60%20%20260703.zip,MyActuator-2025-product-manual.pdf,451,"$490 USD (AIFITLAB), @0.92 EUR/USD",48,20,60,,153,176,320,0.82,80,67.5,planetary 19.612:1,2.1,"output (module, after gearbox)",16,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.41,motor phase,wye,10,9.5,29.1,,CAN BUS / EtherCAT,X6-60. Module (output) Kt 2.1 Nm/A. L 0.51 mH; eff 72.7%; back-drive 1.6 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 60 Nm@5s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p21-22)
actuator,MyActuator,RMD-X8-P9-32-R,https://www.myactuator.com/x8-32-details,https://www.myactuator.com/_files/archives/cab28a_7bc7b6be06384702ab3e30b2f911b91b.zip?dn=RMD-X8-32%20260703.zip,MyActuator-2025-product-manual.pdf,,,24,8,32,,244,277,204,0.55,96,41.2,planetary 9:1,1.3,"output (module, after gearbox)",10.9,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.13,motor phase,,21,6.2,30,,RS485,X8-32 (single encoder). Module (output) Kt 1.3 Nm/A. L 0.081 mH; eff 82%; back-drive 0.8 Nm; backlash 8 arcmin; deep-groove ball output bearing; SINGLE encoder ABS-18BIT; no brake. Currents A(rms). Stall: 30 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p23-24)
actuator,MyActuator,RMD-X8-P9-50-C / -R,https://www.myactuator.com/rmd-x-planetarymotor,https://www.myactuator.com/downloads-xseries,MyActuator-2025-product-manual.pdf,639,"$695 USD (AIFITLAB, listed as RMD-X8-S2), @0.92 EUR/USD",48,15,50,,110,137,125,0.72,96,,planetary 9:1,4.7,"output (module, after gearbox)",48.5,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.28,motor phase,wye,21,3.2,16,,RS485 / CAN BUS,X8-50 (higher-Kt winding of X8 frame). Module (output) Kt 4.7 Nm/A. L 0.34 mH; eff 80%; back-drive 0.8 Nm; backlash 10 arcmin; dual encoder ABS-17BIT/18BIT; no brake. Currents A(rms). Length not legible on datasheet drawing. Stall: 45 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p25-26)
actuator,MyActuator,RMD-X8-P20-120-E,https://www.myactuator.com/x8-120details,https://www.myactuator.com/_files/archives/cab28a_c2d3da522eba4448a67b2b2aef6f434e.zip?dn=X8-120%20260626.zip,MyActuator-2025-product-manual.pdf,593,"$645 USD (AIFITLAB), @0.92 EUR/USD",48,43,120,,127,158,574,1.40,96,76,planetary 19.612:1,2.4,"output (module, after gearbox)",19.2,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.18,motor phase,wye,10,17.6,43.8,,CAN BUS / EtherCAT,X8-120. Module (output) Kt 2.4 Nm/A. L 0.31 mH; eff 79%; back-drive 3.21 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 129 Nm@5s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p27-28)
actuator,MyActuator,RMD-X12-P20-320-E,https://www.myactuator.com/x12-320-details,https://www.myactuator.com/_files/archives/cab28a_437d9139632349b4b59b890b301b2405.zip?dn=RMD-X12-320%20%20260703.zip,MyActuator-2025-product-manual.pdf,1003,"$1090 USD (AIFITLAB), @0.92 EUR/USD",48,85,320,,100,125,900,2.37,124,85,planetary 20:1,3.3,"output (module, after gearbox)",17.9,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.12,motor phase,wye,20,30,100,,CAN BUS / EtherCAT,X12-320. Module (output) Kt 3.3 Nm/A. L 0.05 mH; eff 75%; back-drive 3.8 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Rated OUTPUT power=900 W per datasheet & AIFITLAB (existing DB row says 1000 W - existing is wrong). Weight 2.37 kg (existing row 2.40). Stall: 300 Nm@3s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p29-30); confirmed https://aifitlab.com/products/myactuator-rmd-x12-320-motor
actuator,MyActuator,RMD-X15-P20-450-E,https://www.myactuator.com/x15-450-details,https://www.myactuator.com/_files/archives/cab28a_f1eba578c465415296406d06cf3feba5.zip?dn=RMD-X15-450%20260703.zip,MyActuator-2025-product-manual.pdf,,,72,145,450,,98,108,1480,3.50,166,69,planetary 20.25:1,5.8,"output (module, after gearbox)",29.9,Vdc/krpm (motor back-EMF const),motor (bus Vdc referenced),0.08,motor phase,wye,20,25,69.2,,CAN BUS / EtherCAT,X15-450. 72V input. Module (output) Kt 5.8 Nm/A. L 0.14 mH; eff 82.4%; back-drive 4 Nm; backlash 10 arcmin; crossed-roller output bearing; dual encoder ABS-17BIT/17BIT; no brake. Currents A(rms). Stall: 435 Nm@5s.,https://dings-motion.squarespace.com/s/MyActuator-2025-product-manual.pdf (2025 catalog p31-32)
