layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
motor,Unitree,GO-M8010-6,https://shop.unitree.com/products/go1-motor,https://techshare.co.jp/faq/wp-content/uploads/2023/12/GO-M8010-6_Motor_Data_User_Manual_V1.0.pdf,datasheets/qdd-western/unitree_go-m8010-6_manual.pdf,340,"$369 USD, shop.unitree.com (official); conv @0.92 USD->EUR",12-30 (24 rec),,23.7,,,286,,0.53,96.5,42.3,6.33:1,0.63895,unknown,,,,,,,,,40,,"RS485 (High Speed 485), 4Mbit/s","Datasheet wording: 'Maximum Torque 23.7NM' (at output, after 6.33 reduction per product desc); 'Maximum Relative Current 40A'; 'Maximum Revolution Speed 30 rad/s @24V' (=286 RPM, output). Torque constant 0.63895 Nm/A given without reference frame (appears output-referenced: 23.7/0.63895=37A). Full size L*W*H 96.5x92.5x42.3mm. 15-bit rotor absolute encoder + temp sensor. Control freq 6kHz. No rated torque, Kv, pole pairs, or R published.",https://techshare.co.jp/faq/wp-content/uploads/2023/12/GO-M8010-6_Motor_Data_User_Manual_V1.0.pdf
motor,Unitree,A1 Motor,https://shop.unitree.com/products/unitree-a1-motor,https://www.unitree.com/a1/motor/,,460,"$500 USD, shop.unitree.com (official); conv @0.92 USD->EUR",20-40,,,33.5,,200,,0.605,,,,0.9287,unknown,,,,,,,,,,,RS485,"Datasheet wording: 'Maximum Instantaneous Torque 33.5N.m'; 'Maximum Joint Rotate Speed 21rad/s' (=200 RPM). Torque constant 0.9287 Nm/A, reference frame not stated. 15-bit motor encoder. Comm control period 1kHz. Reduction ratio not published on official spec page. Implied peak current ~36A (33.5/0.9287) not stated. No rated torque, Kv, pole pairs, R.",https://www.unitree.com/a1/motor/
motor,Unitree,B1 Motor,https://shop.unitree.com/products/b1-motor,,,2760,"$3000 USD, shop.unitree.com (official); conv @0.92 USD->EUR",36-64,,,140,,87,,1.2,,,16:1,,,,,,,,,,,,,RS485,"Max instantaneous torque 140 Nm; max joint speed 9.1 rad/s (=87 RPM); reduction 1:16; weight 1.2 kg; 36-64V; RS-485. Specs from reseller listing (sonnyrobotics.com); Unitree official store page shows price only, no spec table. Kt/Kv/pole pairs/R not published.",https://sonnyrobotics.com/products/unitree-b1-motor (specs); price https://shop.unitree.com/products/b1-motor
motor,Unitree,IM6014 Motor,https://shop.unitree.com/products/unitree-im6014-motor,https://www.unitree.com/mobile/IM6014/,,496,"from $539 USD (single-unit kit), shop.unitree.com (official); conv @0.92 USD->EUR",24-75,,34.4,,,518,,0.535,65,60,12.67:1 (3:38),,,,,,,,,,,40,,RS485 (High Speed RS-485),"Datasheet: 'Maximum Torque (Opposite to Rotational Speed) 34.4N.m', '(Same Direction As Speed) 31.7N.m'; 'Maximum (No-Load) Speed 54.2 rad/s @60V' (=518 RPM); 'Maximum Line Current 40A'; 'Gear Ratio 3:38' (=12.67:1); dims phi65x60mm. Dual absolute encoders (rotor 15-bit + output). No Kt, rated torque, or R published.",https://www.unitree.com/mobile/IM6014/
motor,Unitree,M107 (H1/B2 joint motor),https://www.unitree.com/h1/,,,,NOT sold standalone (integrated in H1/B2),,,360,,,,,,,,,,,,,,,,,,,,,,"NOT a direct-sale standalone product - integrated joint actuator in Unitree H1 humanoid / B2. Marketing figures only (no datasheet): knee peak ~360 Nm, hip ~220 Nm, ankle ~59 Nm, arm ~75 Nm; peak torque density 189 Nm/kg; ~107x74mm; low-inertia high-speed internal-rotor PMSM. Robot battery max voltage 67.2V. Peak_Torque=360 is the knee-config value. Weight not published (density implies ~1.9 kg at 360 Nm).",https://www.unitree.com/h1/
actuator,mjbots,qdd100 beta 3,https://mjbots.com/products/qdd100-beta-3,https://mjbots.com/products/qdd100-beta-3,,809,"$879 USD servo, mjbots.com (official); dev kit $999; conv @0.92 USD->EUR",10-44,3.3,16,,,600,500,0.507,100,44,planetary 6:1,,,,,,,,,,,,,CAN-FD 5Mbps,"Torque thermal tiers (0 speed, 24V, 20C, no airflow/heatsink): 'Peak 16 Nm (<1s)', '10 Nm - 60s', '6 Nm - 400s', '3.3 Nm - Indefinite' (=continuous->Rated). Max speed '3600 dps @36V' (=600 RPM), '2300 dps @24V' (=383 RPM). Peak power 500W. Backlash +/-0.25 deg. M0.5 6:1 planetary + moteus-derived integrated controller. Dev kit $999. Kt/Kv/pole pairs/currents not published.",https://mjbots.com/products/qdd100-beta-3
motor,mjbots,mj5208,https://mjbots.com/products/mj5208,https://mjbots.com/products/mj5208,,68,"$74 USD, mjbots.com (official); conv @0.92 USD->EUR",,,1.7,,,7500,600,0.193,63,25,,,,330,rpm/V,unknown,,,,,,,,,"5208-size brushless outrunner. Datasheet: 'Peak torque 1.7 Nm', 'Kv 330', 'Maximum RPM 7500', 'Peak power 600W', 'Mass (with wires) 193g', OD 63mm x 25mm. Kv winding/reference frame not stated. Motor used in the moteus devkit. No Kt, R, pole pairs published.",https://mjbots.com/products/mj5208
driver,mjbots,moteus r4.11,https://mjbots.com/products/moteus-r4-11,https://mjbots.com/products/moteus-r4-11,,86,"$94 USD, mjbots.com (official); conv @0.92 USD->EUR",10-44 (<=10S),,,,,,900,0.0142,,,,,,,,,,,,,12 / 32,100,,CAN-FD 5Mbps,"Standalone 3-phase FOC BLDC controller. Continuous phase current 12A (w/o thermal mgmt) / 32A (w/ thermal mgmt); peak phase current 100A; bus 10-44V (<=10S); peak electrical power 900W @30V. PCB 46x53mm, 14.2g. STM32G4 (170 MHz). Control 15-30kHz. Firmware open-source (Apache-2.0). Connectors 2x XT30PW-M + 2x JST PH-3.",https://mjbots.com/products/moteus-r4-11
driver,mjbots,moteus-n1,https://mjbots.com/products/moteus-n1,https://mjbots.com/products/moteus-n1,,137,"$149 USD, mjbots.com (official); conv @0.92 USD->EUR",10-54 (<=12S),,,,,,2000,0.0146,,,,,,,,,,,,,9 / 26,100,,CAN-FD 5Mbps,"Standalone 3-phase FOC BLDC controller. Continuous phase current 9A (w/o thermal mgmt) / 26A (w/ thermal mgmt); peak phase current 100A; bus 10-54V (<=12S); peak electrical power 2kW @36V. 46x46x8mm, 14.6g. STM32G4. Integrated absolute magnetic encoder. Firmware open-source (Apache-2.0).",https://mjbots.com/products/moteus-n1
driver,mjbots,moteus-c1,https://mjbots.com/products/moteus-c1,https://mjbots.com/products/moteus-c1,,63,"$69 USD, mjbots.com (official); conv @0.92 USD->EUR",10-51 (<=12S),,,,,,250,0.0089,,,,,,,,,,,,,5 / 14,20,,CAN-FD 5Mbps,"Standalone 3-phase FOC BLDC controller (low-cost). Continuous phase current 5A (w/o thermal mgmt) / 14A (w/ thermal mgmt); peak phase current 20A; bus 10-51V (<=12S); peak electrical power 250W @28V. 38x38x9mm, 8.9g.",https://mjbots.com/products/moteus-c1
