layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
actuator,RobStride,RS00,https://www.robstride.com/products/robStride00,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS00,datasheets/robstride-steadywin/robstride_RS00_user_manual.pdf,142.95,OpenELAB EUR (motor w/o debug board); Seeed $125,24-60,5,14,,260,315,170,0.310,57,51,10:1 planetary,1.48,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],9.5,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",,,unknown,14,4.7,15.5,,CAN 1Mbps (CANopen),Rated V=48; square 57x57x51mm; dual 14-bit magnetic encoders; no-load current 0.5Arms; currents are Apk(peak); IP not stated on datasheet; rated load tested @100rpm; 28 poles,RobStride RS00 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS01,https://www.robstride.com/products/robStride01,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS01,datasheets/robstride-steadywin/robstride_RS01_user_manual.pdf,151.75,OpenELAB EUR (motor w/o debug board),24-48,6,17,,100,315,170,0.380,78.5,40,7.75:1 planetary,1.22,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],9.6,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",0.58,line-to-line,unknown,14,7,23,IP52 (IP67 option),CAN 1Mbps (CANopen),Rated V=36 (per OpenELAB); square 78.5x78.5x40mm; SINGLE 14-bit magnetic encoder; inductance 187-339uH; currents Apk(peak); 28 poles,RobStride RS01 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS02,https://www.robstride.com/products/robStride02,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS02,datasheets/robstride-steadywin/robstride_RS02_user_manual.pdf,164.95,OpenELAB EUR (motor w/o debug board); Seeed $160; AliExpress ~$145,24-60,6,17,,360,410,170,0.405,78.5,45.5,7.75:1 planetary,1.22,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],9.6,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",,,unknown,14,7,23,IP52 (IP67 option),CAN 1Mbps (CANopen),Rated V=48; dual 14-bit magnetic encoders; IP67 variant available (separate manual RS02-IP67); currents Apk(peak); 28 poles,RobStride RS02 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS03,https://www.robstride.com/products/robStride03,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS03,datasheets/robstride-steadywin/robstride_RS03_user_manual.pdf,247.45,OpenELAB EUR sale (reg 276.10),24-60,20,60,,100,195,380,0.880,106,56,9:1 planetary,2.36,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],17,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",0.39,line-to-line,unknown,21,12,43,IP52 (IP67 option),CAN 1Mbps (CANopen),Rated V=48; manual voltage range 24-60V (OpenELAB lists 15-60V); dual magnetic encoders; back-EMF 17Vrms/kRPM; inductance 0.275mH; currents Apk(peak); 42 poles,RobStride RS03 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS04,https://www.robstride.com/products/robStride04,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS04,datasheets/robstride-steadywin/robstride_RS04_user_manual.pdf,280.45,OpenELAB EUR (motor); AliExpress from $255; Seeed,15-60,40,120,,167,200,700,1.420,120,56,9:1 planetary,2.1,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],16.9,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",0.16,line-to-line,unknown,21,27,90,IP52 (IP67 option),CAN 1Mbps (CANopen),Rated V=48; dual 14-bit magnetic encoders; no-load current 2Arms; inductance 0.211mH; currents Apk(peak); 42 poles,RobStride RS04 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS05,https://www.robstride.com/products/robStride05,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS05,datasheets/robstride-steadywin/robstride_RS05_user_manual.pdf,126.45,OpenELAB EUR,15-60,1.6,5.5,,,480,,0.191,46,44,7.75:1 planetary,0.94,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],7.4,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",,,unknown,,2.4,11,,CAN 1Mbps (CANopen),Rated V=48; dual 14-bit encoders; no-load 480rpm; rated load 1.6Nm tested @100rpm; no-load current 0.14Arms; rated power not published; currents Apk(peak); pole pairs not stated,RobStride RS05 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,RobStride,RS06,https://www.robstride.com/products/robStride06,https://github.com/RobStride/Product_Information/tree/main/Product%20Literature/RS06,datasheets/robstride-steadywin/robstride_RS06_user_manual.pdf,230.95,OpenELAB EUR,15-60,11,36,,,480,,0.621,88,49,9:1 planetary,1.09,output-shaft; per Arms(RMS) [derived; datasheet states 'N.m/Arms' only],7.6,Vrms/kRPM,"back-EMF const (Ke); motor-shaft [inferred, frame unstated]",,,unknown,14,14.3,57.0,,CAN 1Mbps (CANopen),Rated V=48; no-load 480rpm; rated load 11Nm tested @100rpm; no-load current 0.98Arms; rated power not published; currents Apk(peak); 28 poles,RobStride RS06 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059
actuator,SteadyWin,GIM3505-8,https://steadywin-motor.com/products/gim3505-8,https://islandcloud.co/link/689e8ddf86b8201b11f287fb/3b7bfd04-6f4c-48e1-8cd2-6a84b9bd3cd6,datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx,64.61,"OpenELAB from-price, base config (driver optional)",12~40,0.67,1.79,,230,400,36.72,0.097,43,30,8:1 planetary,0.44,unknown (table: 'Torque constant N.M/A'; motor/output frame unspecified),16.6667,rpm/V,unknown (table: 'Speed constant rpm/V'; appears output-referenced),5.473,phase-to-phase,Wye,11,1.53,3.99,IP54,CAN&485,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: NO; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | per-model PDF pack: datasheets/robstride-steadywin/steadywin_docs/Planetary Reduction Motor/GIM3505-8/,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3505-8-planetary-gear-motor
actuator,SteadyWin,GIM3510-8,https://steadywin-motor.com,https://islandcloud.co/link/689e8ddf86b8201b11f287fb/3b7bfd04-6f4c-48e1-8cd2-6a84b9bd3cd6,datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx,88.24,"OpenELAB from-price, base config (driver optional)",12~40,1,6.28,,534,588,79.2,0.2596,46,51.5,8:1 planetary,0.26,unknown (table: 'Torque constant N.M/A'; motor/output frame unspecified),24.5,rpm/V,unknown (table: 'Speed constant rpm/V'; appears output-referenced),0.515,phase-to-phase,Delta,7,3.3,28.94,IP54,CAN&485,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: YES; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A'),SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-8-robot-gear-motor-reducer-planetary
actuator,SteadyWin,GIM3510-64,https://steadywin-motor.com,https://islandcloud.co/link/689e8ddf86b8201b11f287fb/3b7bfd04-6f4c-48e1-8cd2-6a84b9bd3cd6,datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx,126.52,"OpenELAB from-price, base config (driver optional)",12~40,9,50,,67,74,81.84,0.5072,46,77.5,64:1 planetary,2.84,unknown (table: 'Torque constant N.M/A'; motor/output frame unspecified),3.0833,rpm/V,unknown (table: 'Speed constant rpm/V'; appears output-referenced),0.515,phase-to-phase,Delta,7,3.41,25.28,IP54,CAN&485,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: YES; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A'),SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-64-compact-can-servo-for-robotics
