layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw,Kv_unit,Kv_ref,R_raw_ohm,R_ref,Winding,Pole_Pairs,Cont_Current_A,Peak_Current_A,IP,Communication,Notes,Source
actuator,ZeroErr,eRob70F (14-50),https://www.zeroerr.com/rotary_actuators/erob70f,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,3.7,12,23,,60,75,0.77,70,60.4,strain wave 50:1,0.134,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V3_MC2; output Kt=Kt*ratio*eta",8,V/kRPM,"line-to-line, +-5% (Table 25-1)",3.87,"line-to-line, +-10% (Table 25-1)",unknown,8,1.91,5.9,IP54,EtherCAT / CANopen / Modbus,"Ultra-flat. Avg-load torque=4.8Nm. Motor V3_MC2 16-pole: motor rated 0.24Nm@3000rpm, L 2.54mH. Module rated I 1.91A (Table 3-1). Enc 19-bit. Peak_Torque_Nm=peak start/stop torque; Max_Momentary=permissible max momentary torque.",https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70F (14-80),https://www.zeroerr.com/rotary_actuators/erob70f,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,5.4,16,35,,37.5,75,0.77,70,60.4,strain wave 80:1,0.134,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V3_MC2; output Kt=Kt*ratio*eta",8,V/kRPM,"line-to-line, +-5% (Table 25-1)",3.87,"line-to-line, +-10% (Table 25-1)",unknown,8,1.91,5.9,IP54,EtherCAT / CANopen / Modbus,"Ultra-flat. Avg-load torque=7.7Nm. Motor V3_MC2 16-pole. Module rated I 1.91A. Enc 19-bit.",https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70F (14-100),https://www.zeroerr.com/rotary_actuators/erob70f,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,5.4,19,35,,30,75,0.77,70,60.4,strain wave 100:1,0.134,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V3_MC2; output Kt=Kt*ratio*eta",8,V/kRPM,"line-to-line, +-5% (Table 25-1)",3.87,"line-to-line, +-10% (Table 25-1)",unknown,8,1.91,5.9,IP54,EtherCAT / CANopen / Modbus,"Ultra-flat. Avg-load torque=7.7Nm. Motor V3_MC2 16-pole. Module rated I 1.91A. Enc 19-bit. New size not in existing DB.",https://www.zeroerr.com/rotary_actuators/erob70f ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70i (14-50),https://www.zeroerr.com/rotary_actuators/erob70i,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,7,23,46,,60,100,0.82,70,71,strain wave 50:1,0.132,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.3,V/kRPM,"line-to-line, +-5% (Table 25-1)",2.0,"line-to-line, +-10% (Table 25-1)",unknown,8,2.55,7.8,IP54,EtherCAT / CANopen / Modbus,"Avg-load torque=9Nm. Motor V4_MC2 16-pole (page lists actuator ver V5; no V5 in UM V3.42): 0.32Nm@3000rpm, L 2.46mH. Module rated I 2.55A. Earlier V3_MC1=10-pole Kt0.075/R1.75/Kv8.42/3.3A. Enc 19-bit. Matches existing DB.",https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70i (14-80),https://www.zeroerr.com/rotary_actuators/erob70i,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,10,30,61,,37.5,100,0.82,70,71,strain wave 80:1,0.132,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.3,V/kRPM,"line-to-line, +-5% (Table 25-1)",2.0,"line-to-line, +-10% (Table 25-1)",unknown,8,2.55,7.8,IP54,EtherCAT / CANopen / Modbus,"Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Ratio not in existing DB.",https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70i (14-100),https://www.zeroerr.com/rotary_actuators/erob70i,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,10,36,70,,30,100,0.82,70,71,strain wave 100:1,0.132,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.3,V/kRPM,"line-to-line, +-5% (Table 25-1)",2.0,"line-to-line, +-10% (Table 25-1)",unknown,8,2.55,7.8,IP54,EtherCAT / CANopen / Modbus,"Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Matches existing DB.",https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob70i (14-120),https://www.zeroerr.com/rotary_actuators/erob70i,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,10,36,70,,25,100,0.82,70,71,strain wave 120:1,0.132,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.3,V/kRPM,"line-to-line, +-5% (Table 25-1)",2.0,"line-to-line, +-10% (Table 25-1)",unknown,8,2.55,7.8,IP54,EtherCAT / CANopen / Modbus,"Avg-load torque=14Nm. Motor V4_MC2 16-pole. Module rated I 2.55A. Enc 19-bit. Ratio not in existing DB.",https://www.zeroerr.com/rotary_actuators/erob70i ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob80F (17-50),https://www.zeroerr.com/rotary_actuators/erob80f,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,11,23,48,,60,126,0.89,80,57.5,strain wave 50:1,0.126,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.36,V/kRPM,"line-to-line, +-5% (Table 25-1)",1.362,"line-to-line, +-10% (Table 25-1)",unknown,8,3.6,10.8,IP54,EtherCAT / CANopen / Modbus,"Flat. Avg-load torque=18Nm. Motor V4_MC2 16-pole: 0.4Nm@3000rpm, L 1.362mH. Module rated I 3.5A (Table 3-1). Enc 19-bit. Only 2 ratios offered (50,100). Matches existing DB.",https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob80F (17-100),https://www.zeroerr.com/rotary_actuators/erob80f,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,16,37,71,,30,126,0.89,80,57.5,strain wave 100:1,0.126,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V4_MC2; output Kt=Kt*ratio*eta",8.36,V/kRPM,"line-to-line, +-5% (Table 25-1)",1.362,"line-to-line, +-10% (Table 25-1)",unknown,8,3.6,10.8,IP54,EtherCAT / CANopen / Modbus,"Flat. Avg-load torque=27Nm. Motor V4_MC2 16-pole. Module rated I 3.5A. Enc 19-bit. Matches existing DB.",https://www.zeroerr.com/rotary_actuators/erob80f ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
actuator,ZeroErr,eRob80i (17-50),https://www.zeroerr.com/rotary_actuators/erob80i,https://dl.zeroerr.cn/static/en/eRob i-type rotary actuator parameter sheet.pdf,eRob_i-type_parameter_sheet.pdf,,,48,21,44,91,,60,126,1.03,80,64.2,strain wave 50:1,0.134,"motor Nm/A_rms pre-gear (UM V3.42 Table 25-1); winding Y/D unstated; motor ver V5_MC2; output Kt=Kt*ratio*eta",8.1,V/kRPM,"line-to-line, +-5% (Table 25-1)",0.76,"line-to-line, +-10% (Table 25-1)",unknown,8,3.4,10.88,IP54,EtherCAT / CANopen / Modbus,"Avg-load torque=34Nm. Motor V5_MC2 16-pole (page now V6; no V6 in UM V3.42): 0.45Nm@3100rpm, L 1.32mH. Motor rated power 146W in UM vs 126W on page. Module rated I 4.1A (Table 3-1). Earlier V3_MC1=10-pole Kt0.101/R0.7/200W. Enc 19-bit. Matches existing DB.",https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf)
